item_id,item_name,category_id,base_price,base_cost,description,is_active,launch_date,is_seasonal,season
ITEM0121,Rasmalai,CAT11,370.00,125.92,Rasmalai from our desserts menu,true,2022-09-26,false,AllYear
ITEM0122,Chocolate Fudge Cake,CAT11,690.00,295.82,Chocolate Fudge Cake from our desserts menu,true,2016-05-14,false,AllYear
ITEM0123,Zarda,CAT11,310.00,138.90,Zarda from our desserts menu,true,2019-11-13,false,AllYear
ITEM0124,Doodh Patti Chai,CAT12,190.00,131.48,Doodh Patti Chai from our hot beverages menu,true,2020-04-11,false,AllYear
ITEM0125,Kashmiri Chai,CAT12,320.00,124.33,Kashmiri Chai from our hot beverages menu,true,2020-03-08,true,Winter
ITEM0126,Green Tea,CAT12,160.00,72.53,Green Tea from our hot beverages menu,true,2024-03-11,false,AllYear
ITEM0127,Cappuccino,CAT12,500.00,76.86,Cappuccino from our hot beverages menu,true,2017-05-05,false,AllYear
ITEM0128,Cafe Latte,CAT12,510.00,72.23,Cafe Latte from our hot beverages menu,true,2018-09-24,false,AllYear
ITEM0129,Hot Chocolate,CAT12,600.00,188.49,Hot Chocolate from our hot beverages menu,true,2017-08-12,true,Winter
ITEM0130,Karak Chai,CAT12,235.00,91.80,Karak Chai from our hot beverages menu,true,2018-03-05,true,Monsoon
ITEM0131,Espresso,CAT12,360.00,156.93,Espresso from our hot beverages menu,false,2024-02-02,false,AllYear
ITEM0132,Americano,CAT12,410.00,163.26,Americano from our hot beverages menu,true,2024-05-21,false,AllYear
ITEM0133,Mint Tea,CAT12,180.00,78.35,Mint Tea from our hot beverages menu,true,2016-05-25,false,AllYear
ITEM0134,Soft Drink (Regular),CAT13,165.00,108.74,Soft Drink (Regular) from our cold beverages & shakes menu,true,2021-08-20,false,AllYear
ITEM0135,Mineral Water (500ml),CAT13,105.00,69.46,Mineral Water (500ml) from our cold beverages & shakes menu,true,2018-01-28,false,AllYear
ITEM0136,Mango Shake,CAT13,480.00,175.82,Mango Shake from our cold beverages & shakes menu,true,2017-09-19,true,Summer
ITEM0137,Sweet Lassi,CAT13,310.00,112.52,Sweet Lassi from our cold beverages & shakes menu,true,2018-08-09,true,Summer
ITEM0138,Fresh Lime Soda,CAT13,265.00,113.51,Fresh Lime Soda from our cold beverages & shakes menu,true,2017-09-25,true,Summer
ITEM0139,Mint Margarita,CAT13,410.00,69.54,Mint Margarita from our cold beverages & shakes menu,true,2020-05-15,false,AllYear
ITEM0140,Blue Lagoon,CAT13,460.00,67.98,Blue Lagoon from our cold beverages & shakes menu,true,2024-11-16,false,AllYear
ITEM0141,Cold Coffee,CAT13,510.00,166.18,Cold Coffee from our cold beverages & shakes menu,true,2021-03-25,false,AllYear
ITEM0142,Oreo Shake,CAT13,810.00,249.91,Oreo Shake from our cold beverages & shakes menu,true,2022-06-13,false,AllYear
ITEM0143,Strawberry Shake,CAT13,470.00,187.60,Strawberry Shake from our cold beverages & shakes menu,true,2020-05-25,false,AllYear
ITEM0144,Lotus Biscoff Shake,CAT13,750.00,326.20,Lotus Biscoff Shake from our cold beverages & shakes menu,true,2025-11-10,false,AllYear
ITEM0145,Peach Iced Tea,CAT13,370.00,151.19,Peach Iced Tea from our cold beverages & shakes menu,true,2025-04-15,false,AllYear
ITEM0146,Chocolate Shake,CAT13,610.00,207.34,Chocolate Shake from our cold beverages & shakes menu,true,2018-05-25,false,AllYear
ITEM0147,Fresh Orange Juice,CAT13,480.00,154.20,Fresh Orange Juice from our cold beverages & shakes menu,true,2018-03-04,true,Winter
ITEM0148,Plain Fries,CAT14,320.00,208.57,Plain Fries from our sides & breads menu,true,2023-06-30,false,AllYear
ITEM0149,Masala Fries,CAT14,380.00,173.20,Masala Fries from our sides & breads menu,true,2023-07-10,false,AllYear
ITEM0150,Garlic Naan,CAT14,130.00,50.35,Garlic Naan from our sides & breads menu,true,2023-08-13,false,AllYear
ITEM0151,Plain Naan,CAT14,65.00,45.19,Plain Naan from our sides & breads menu,true,2021-09-07,false,AllYear
ITEM0152,Roghni Naan,CAT14,100.00,40.74,Roghni Naan from our sides & breads menu,true,2020-12-16,false,AllYear
ITEM0153,Tandoori Roti,CAT14,40.00,16.47,Tandoori Roti from our sides & breads menu,true,2021-10-15,false,AllYear
ITEM0154,Garlic Bread,CAT14,370.00,126.03,Garlic Bread from our sides & breads menu,true,2019-08-17,false,AllYear
ITEM0155,Coleslaw,CAT14,220.00,95.85,Coleslaw from our sides & breads menu,true,2021-12-22,false,AllYear
ITEM0156,Raita,CAT14,130.00,48.41,Raita from our sides & breads menu,true,2023-01-31,false,AllYear
ITEM0157,Loaded Fries,CAT14,800.00,322.21,Loaded Fries from our sides & breads menu,true,2022-10-20,false,AllYear
ITEM0158,Mashed Potatoes,CAT14,370.00,151.76,Mashed Potatoes from our sides & breads menu,false,2021-06-22,false,AllYear
ITEM0159,Onion Rings,CAT14,460.00,192.62,Onion Rings from our sides & breads menu,true,2016-07-08,false,AllYear
ITEM0160,Paratha,CAT14,105.00,47.30,Paratha from our sides & breads menu,true,2022-06-19,false,AllYear
